character,pinyin_hanziDB,pinyin_qxk,meaning,pinyin_hanziDB_qxk,pinyin_name,pinyin_givenname,pinyin_familyname,pinyin,tone,tone_name,tone_familyname,tone_givenname,pinyin_notone,eng,eng_name,eng_familyname,eng_givenname
窗,chuāng,chuāng,chuāng	房屋、车、船上通气透光的装置。～户｜门～｜天～｜舷～｜纱～｜～明几净。,chuāng,chuāng,chuāng,chuāng,chuāng,1,1,1,1,chuang,chuang,chuang,chuang,chuang
窘,jiǒng,jiǒng,jiǒng	1:穷困。～迫|～境|困～|日子过得很～。2:难堪；使难堪。～相|～态|发～|受～|～得他无地自容。,jiǒng,jiǒng,jiǒng,jiǒng,jiǒng,3,3,3,3,jiong,jiong,jiong,jiong,jiong
遍,biàn,biàn,biàn	1:到处；全面。～布|～地|～及|普～|走～天下|满山～野。2:量词。 用于动作从开始到结束的整个过程，相当于“次”。看一～|鸡叫头～|一～～地说。,biàn,biàn,biàn,biàn,biàn,4,4,4,4,bian,bian,bian,bian,bian
雇,gù,gù,gù	1:出钱让人为自己做事。～佣|～员|～工|～请|解～|～保姆。2:租赁车、船等交通工具为自己服务。～车|～船|～牲口。,gù,gù,gù,gù,gù,4,4,4,4,gu,gu,gu,gu,gu
裕,yù,yù,yù	富足；宽绰。富～|宽～|优～|充～。,yù,yù,yù,yù,yù,4,4,4,4,yu,yu,yu,yu,yu
裤,kù,kù,kù	[褲]	裤子，穿在腰部以下的衣服，有裤腰、裤裆和两条裤腿。西～|棉～|短～|毛～|开裆～|牛仔～。,kù,kù,kù,kù,kù,4,4,4,4,ku,ku,ku,ku,ku
裙,qún,qún,qún	1:裙子，一种围在腰部以下的服装。长～|套～|背带～。2:作用或形状像裙子的东西。墙～|围～。,qún,qún,qún,qún,qún,2,2,2,2,qun,qun,qun,qun,qun
禅,chán,chán#shàn,1chán	[禪]	1:佛教用语。指修行时排除杂念，静坐沉思。～宗｜～机｜参～｜坐～。2:指与佛教有关的。～师｜～房｜～院｜～杖｜口头～。#####2shàn	[禪]	帝王将帝位让给别人。～让｜～位｜受～。,chán#shàn,chán#shàn,chán#shàn,chán#shàn,chán#shàn,2#4,2#4,2#4,2#4,chan#shan,chan#shan,chan#shan,chan#shan,chan#shan
禄,lù,lù,lù	古代官吏的薪俸。～位|俸～|高官厚～|无功不受～。,lù,lù,lù,lù,lù,4,4,4,4,lu,lu,lu,lu,lu
谢,xiè,xiè,xiè	[謝]	1:感谢。～恩|～意|～词|道～|酬～|鸣～。2:认错；道歉。～罪|～过。3:推辞；辞去。～职|～客|～绝|～世|敬～不敏。4:凋落；脱落。凋～|萎～|～顶|新陈代～|花儿～了。5:（Xiè）姓。,xiè,xiè,xiè,xiè,xiè,4,4,4,4,xie,xie,xie,xie,xie
谣,yáo,yáo,yáo	[謡]	1:歌谣。民～|童～。2:谣言。造～|辟～|～传。,yáo,yáo,yáo,yáo,yáo,2,2,2,2,yao,yao,yao,yao,yao
谤,bàng,bàng,bàng	[謗]	恶意攻击；无中生有地说人坏话。～议|诽～|毁～。,bàng,bàng,bàng,bàng,bàng,4,4,4,4,bang,bang,bang,bang,bang
谦,qiān,qiān,qiān	[謙]	虚心；不自满。～虚|～逊|～和|～让|自～|满招损，～受益。,qiān,qiān,qiān,qiān,qiān,1,1,1,1,qian,qian,qian,qian,qian
犀,xī,xī,xī	哺乳动物，外形略像牛，皮粗而厚，毛稀少，鼻子上有一只或两只角，生活在亚洲、非洲的热带森林中，通称“犀牛”。,xī,xī,xī,xī,xī,1,1,1,1,xi,xi,xi,xi,xi
属,shǔ,shǔ#zhǔ,shǔ	[屬]	1:种类；类别。金～。2:有血统关系或婚姻关系的人。家～｜亲～｜眷～｜军～｜烈～。3:受管辖；有领导关系。～地｜统～｜领～｜直～｜隶～｜附～。4:归某一方面所有。～于｜归～｜胜利终～我们！5:是。纯～捏造｜完全～实。6:生物分类系统的第六级，在科之下，种之上，如猫科有豹属，松科有松属。7:用十二属相记生年。我1974年出生，～虎。,shǔ#zhǔ,shǔ#zhǔ,shǔ#zhǔ,shǔ#zhǔ,shǔ#zhǔ,3#3,3#3,3#3,3#3,shu#zhu,shu#zhu,shu#zhu,shu#zhu,shu#zhu
屡,lǚ,lǚ,lǚ	[屢]	副词。 表示情况多次发生。～禁不止|～见不鲜|～教不改|～～受阻。,lǚ,lǚ,lǚ,lǚ,lǚ,3,3,3,3,lv,lv,lv,lv,lv
强,qiáng,qiáng#qiǎng#jiàng,1jiàng	强硬不屈；固执。倔～。#####2qiáng	1:健壮；力量大（跟“弱”相对）。～壮|～健|～大|富～|年富力～|～将手下无弱兵。2:使强壮；使强大。～身|～心剂|～国之策|富国～兵。3:坚定；程度高。～硬|坚～|要～|责任心～。4:比起来好些。日子过得比过去～多了。5:凶狠；粗暴。～横|～暴|～盗。6:拼力；不顾一切。～制|～渡|～忍悲痛|～行通过。7:用在分数或小数后，表示比此数略多。二分之一～|15%～。8:（Qiáng）姓。#####3qiǎng	1:迫使。～迫|～逼|～辩|～人所难|～词夺理。2:勉强。～求|牵～|～颜欢笑。,qiáng#qiǎng#jiàng,qiáng#qiǎng#jiàng,qiáng#qiǎng#jiàng,qiáng,qiáng#qiǎng#jiàng,2#3#4,2#3#4,2,2#3#4,qiang#qiang#jiang,qiang#jiang,qiang#jiang,qiang,qiang#jiang
粥,zhōu,zhōu#yù,zhōu	用粮食等煮成的半流质食物。稀～|莲子～|八宝～|腊八～。,zhōu#yù,zhōu#yù,zhōu#yù,zhōu#yù,zhōu#yù,1#4,1#4,1#4,1#4,zhou#yu,zhou#yu,zhou#yu,zhou#yu,zhou#yu
疏,shū,shū,shū	1:清除阻塞使通畅。～导｜～通｜～浚。2:事物之间距离远或空隙大（跟“密”相对）。～林｜～落｜～朗｜萧～｜稀～｜～密相间｜天网恢恢，～而不漏。3:关系远；不亲近（跟“亲”相对）。～远｜～离｜～阔｜亲～。4:不熟悉；不熟练。生～｜人地两～｜业务荒～。5:空虚；薄弱。空～｜才～学浅。6:粗心大意。～忽｜～略｜～漏｜粗～｜～于防范。7:分散。～散｜仗义～财。8:封建时代臣下向皇帝陈述事情的呈文。上～｜奏～。9:古代对古书的注文所作的解释。～证｜注～。,shū,shū,shū,shū,shū,1,1,1,1,shu,shu,shu,shu,shu
隔,gé,gé,gé	1:阻断；分开。～断|～离|～绝|～热|阻～|分～。2:时间或空间上有距离。～夜茶|恍如～世|两地相～很远。,gé,gé,gé,gé,gé,2,2,2,2,ge,ge,ge,ge,ge
隙,xì,xì,xì	1:裂缝。缝～|门～|云～|白驹过～。2:（地方或时间的）空闲。～地|空～|间～|农～（农闲）。3:漏洞；机会。伺～|乘～|寻～闹事。4:感情上的裂痕；隔阂。嫌～|仇～|有～。,xì,xì,xì,xì,xì,4,4,4,4,xi,xi,xi,xi,xi
隘,ài,ài,ài	1:狭窄。狭～|林深路～。2:险要的地方。关～|要～。,ài,ài,ài,ài,ài,4,4,4,4,ai,ai,ai,ai,ai
媒,méi,méi,méi	1:媒人，介绍婚姻的人。～妁|做～。2:使双方发生联系的人或事物。～体|～介|传～|触～。,méi,méi,méi,méi,méi,2,2,2,2,mei,mei,mei,mei,mei
絮,xù,xù,xù	1:棉絮，棉花的纤维。被～|吐～|败～。2:像棉絮的东西。柳～|芦～|云～。3:把棉花、丝棉等一层层铺好制成被褥、棉衣等。～被子|～一层棉花。4:说话重复；啰唆。～叨|～烦|～～不休。,xù,xù,xù,xù,xù,4,4,4,4,xu,xu,xu,xu,xu
嫂,sǎo,sǎo,sǎo	1:哥哥的妻子。兄～｜姑～｜堂～｜表～。2:称年纪不大的或跟自己年纪相仿的已婚妇女。李二～｜军～（尊称军人的妻子）｜阿庆～。,sǎo,sǎo,sǎo,sǎo,sǎo,3,3,3,3,sao,sao,sao,sao,sao
媚,mèi,mèi,mèi	1:讨好；巴结。～俗|谄～|献～|奴颜～骨。2:美好；可爱。妩～|明～|柔～|娇～。,mèi,mèi,mèi,mèi,mèi,4,4,4,4,mei,mei,mei,mei,mei
婿,xù,xù,xù	1:丈夫。夫～|女～|妹～。2:女儿的丈夫。赘～|乘龙快～。,xù,xù,xù,xù,xù,4,4,4,4,xu,xu,xu,xu,xu
登,dēng,dēng,dēng	1:由低处到高处（多指步行）。～山|～陆|攀～|～堂入室。2:记载；刊载。～记|～报|刊～|摘～。3:（谷物）成熟。五谷丰～。,dēng,dēng,dēng,dēng,dēng,1,1,1,1,deng,deng,deng,deng,deng
缅,miǎn,miǎn,miǎn	[緬]	遥远。～怀。,miǎn,miǎn,miǎn,miǎn,miǎn,3,3,3,3,mian,mian,mian,mian,mian
缆,lǎn,lǎn,lǎn	[纜]	1:系船等用的绳索。～绳|～车|解～。2:多股拧成的像缆的东西。钢～|电～|光～。3:用绳索系船。～舟|木桩上～着一只小船。,lǎn,lǎn,lǎn,lǎn,lǎn,3,3,3,3,lan,lan,lan,lan,lan
缉,jī,jī#qī,1jī	[緝]	搜捕；捉拿。～拿|～私|～毒|～捕|通～|侦～。#####2qī	[緝]	一针连一针密密地缝。～贴边|～鞋口。,jī#qī,jī#qī,jī#qī,jī#qī,jī#qī,1#1,1#1,1#1,1#1,ji#qi,ji#qi,ji#qi,ji#qi,ji#qi
缎,duàn,duàn,duàn	[緞]	质地较厚、一面平滑且有光泽的丝织品。绸～|锦～|软～。,duàn,duàn,duàn,duàn,duàn,4,4,4,4,duan,duan,duan,duan,duan
缓,huǎn,huǎn,huǎn	[緩]	1:慢；迟（跟“急”相对）。～慢|～步|迟～|徐～|轻重～急。2:延迟；推迟。～办|～刑|延～|～兵之计|刻不容～。3:平和；不紧张。～和|～解|～冲|平～|舒～。4:恢复正常的生理状态。脸色～过来了|晒蔫了的小苗又～了过来。,huǎn,huǎn,huǎn,huǎn,huǎn,3,3,3,3,huan,huan,huan,huan,huan
缔,dì,dì,dì	[締]	1:结合；订立。～结|～交|～约。2:建立；构筑。～造|～构。,dì,dì,dì,dì,dì,4,4,4,4,di,di,di,di,di
缕,lǚ,lǚ,lǚ	[縷]	1:线。不绝如～|千丝万～|细针密～。2:详细地；一条一条地。～叙|～陈|条分～析。3:量词。 用于细丝状的东西。一～麻|一～头发|一～炊烟|一～阳光。,lǚ,lǚ,lǚ,lǚ,lǚ,3,3,3,3,lv,lv,lv,lv,lv
骗,piàn,piàn,piàn	[騙]	1:用谎言或诡计欺蒙，使人上当。～局|受～|欺～|诈～|拐～。2:用欺骗的手段得到。～取|～钱|～贷|～吃～喝。3:侧身抬起一条腿跨上。～马|一～腿儿上了自行车。,piàn,piàn,piàn,piàn,piàn,4,4,4,4,pian,pian,pian,pian,pian
编,biān,biān,biān	[編]	1:把细条状的东西交叉组织起来。～织|～结|～筐|～辫子。2:按一定的次序或条理组织、排列。～码|～号|～队|整～|收～。3:对资料或稿件等进行整理、加工。～辑|～纂|～者|主～|改～|采～。4:创作。～剧本|～节目|～舞蹈|～相声。5:捏造。～造|～谎话|胡～乱造。6:成本的书或书的一部分。续～|简～|上～。7:组织机构的设置及其人员定额和职务分配。～制|在～|超～|定～|缺～|～外人员。,biān,biān,biān,biān,biān,1,1,1,1,bian,bian,bian,bian,bian
骚,sāo,sāo#sǎo,sāo	[騷]	1:动乱；扰乱。～扰｜～动｜～乱。2:指战国时期楚国诗人屈原的作品《离骚》，泛指诗文。～体｜～人｜～客。3:举止轻浮放荡。～货｜风～。,sāo#sǎo,sāo#sǎo,sāo#sǎo,sāo#sǎo,sāo#sǎo,1#3,1#3,1#3,1#3,sao#sao,sao,sao,sao,sao
缘,yuán,yuán,yuán	[緣]	1:原因。～由|～故|无～无故。2:缘分；关系。姻～|无～|投～|人～|血～|绝～|不解之～。3:边。边～|外～|周～。4.1:介词。 沿着；顺着。～溪而行。4.2:介词。 因为。～何出此下策？|不识庐山真面目，只～身在此山中。,yuán,yuán,yuán,yuán,yuán,2,2,2,2,yuan,yuan,yuan,yuan,yuan
瑟,sè,sè,sè	1:古代弦乐器，形状像琴，通常有二十五根弦，也有十六根弦的。琴～｜鼓～。2.1:【瑟瑟】 拟声词。风声或其他轻细的声音。秋风～｜～有声。2.2:【瑟瑟】 形容颤抖的样子。～发抖。,sè,sè,sè,sè,sè,4,4,4,4,se,se,se,se,se
鹉,wǔ,wǔ,wǔ	[鵡]	【鹦（yīng）鹉】 见“鹦”。,wǔ,wǔ,wǔ,wǔ,wǔ,3,3,3,3,wu,wu,wu,wu,wu
瑞,ruì,ruì,ruì	吉祥，好的征兆。～雪|～兽|～签|祥～。,ruì,ruì,ruì,ruì,ruì,4,4,4,4,rui,rui,rui,rui,rui
瑰,guī,guī,guī	奇特；珍贵。～宝|～丽|～异|～奇。,guī,guī,guī,guī,guī,1,1,1,1,gui,gui,gui,gui,gui
瑙,nǎo,nǎo,nǎo	【玛（mǎ）瑙】 见“玛”。,nǎo,nǎo,nǎo,nǎo,nǎo,3,3,3,3,nao,nao,nao,nao,nao
魂,hún,hún,hún	1:迷信的人指能离开肉体而存在的精神。灵～|鬼～|冤～|～不附体。2:指精神或情绪。销～|迷～阵|神～颠倒|惊～未定。3:指崇高的精神或人格化的精神。国～|军～|民族～|花～|诗～。,hún,hún,hún,hún,hún,2,2,2,2,hun,hun,hun,hun,hun
肆,sì,sì,sì	1:任意去做；不顾一切。～虐｜～意｜～行｜恣～｜放～｜～无忌惮。2:店铺。市～｜茶～｜茶楼酒～。3:数目字。4:“四”的大写。,sì,sì,sì,sì,sì,4,4,4,4,si,si,si,si,si
摄,shè,shè#niè,shè	[攝]	1:吸取。～取｜～食｜～碘不足。2:用摄影机、摄像机等拍下人或物体的影像。～影｜～制｜拍～｜这张照片～于杭州。3:兼理；代理。～理｜～政｜～行（xíng）。,shè#niè,shè#niè,shè#niè,shè#niè,shè#niè,4#4,4#4,4#4,4#4,she#nie,she#nie,she#nie,she#nie,she#nie
摸,mō,mō,mō	1:用手接触或抚摩。抚～|盲人～象|～起来很光滑。2:伸手探取。～鱼|顺藤～瓜|从包里～出一块糖。3:试着了解。～底|～情况|～出点经验来。4:在黑暗中试探着行动。～黑儿|小偷儿半夜～进了屋子。,mō,mō,mō,mō,mō,1,1,1,1,mo,mo,mo,mo,mo
填,tián,tián#zhèn,tián	1:把凹陷、空缺的地方垫平或塞满。～塞|～料|～鸭|～方|回～|装～。2:补充。～补|～充|～空补缺。3:在空白表格、单据上按项目写上（文字或数字）。～写|～报|～表。,tián#zhèn,tián#zhèn,tián#zhèn,tián#zhèn,tián#zhèn,2#4,2#4,2#4,2#4,tian#zhen,tian#zhen,tian#zhen,tian#zhen,tian#zhen
搏,bó,bó,bó	1:对打；激烈地争斗。～斗|～击|～杀|拼～|肉～战。2:跳动。～动|早～|脉～|心脏起～器。,bó,bó,bó,bó,bó,2,2,2,2,bo,bo,bo,bo,bo
塌,tā,tā,tā	1:倒下；沉陷。～陷|～落|～方|倒～|崩～|坍～。2:凹下；下垂。～鼻梁|瘦得两腮都～下去了|帽沿～着|庄稼晒得～了秧。3:安定；镇定。～下心来念书。,tā,tā,tā,tā,tā,1,1,1,1,ta,ta,ta,ta,ta
鼓,gǔ,gǔ,gǔ	1:打击乐器。圆筒形或扁圆形，中空，通常一面或两面蒙有皮革，用槌敲击。～槌|擂～|战～|大～|腰～|敲锣打～。2:形状、声音、作用等像鼓的东西。～膜|石～|蛙～|耳～。3:弹奏、敲击或拍，使乐器或东西发出声音。～琴|～瑟|～掌。4:用机械或风箱扇（风）。～风。5:发动；激起。～动|～励|～舞|～足干劲。6:凸起；胀大。～胀|～着腮帮子。,gǔ,gǔ,gǔ,gǔ,gǔ,3,3,3,3,gu,gu,gu,gu,gu
摆,bǎi,bǎi,1bǎi	[擺]	1:放置；陈列。～放|～设|～酒席|～整齐|桌上～着几本书。2:列举；说出。评功～好|～事实，讲道理|有什么问题都～出来。3:显示；炫耀。～阔|～架子|～威风|～老资格。4:摇动。～动|摇～|他～～手，不说了。5:钟表、精密仪器中用来控制摆动频率的机械装置。～轮|钟～|停～。#####2bǎi	[襬]	上衣、裙子、长袍等最下端的部分。下～|前～|裙～。,bǎi,bǎi,bǎi,bǎi,bǎi,3,3,3,3,bai,bai,bai,bai,bai
携,xié,xié,xié	1:随身带着。～带|～眷|～杖|～款潜逃。2:手拉着。～手|提～|扶老～幼。,xié,xié,xié,xié,xié,2,2,2,2,xie,xie,xie,xie,xie
搬,bān,bān,bān	1:移动；迁移。～运|～砖|～迁|～家。2:移用；套用。～用|照～|生～硬套。,bān,bān,bān,bān,bān,1,1,1,1,ban,ban,ban,ban,ban
摇,yáo,yáo,yáo	摆动。～头|～篮|～晃|～摆|动～|飘～。,yáo,yáo,yáo,yáo,yáo,2,2,2,2,yao,yao,yao,yao,yao
搞,gǎo,gǎo,gǎo	做；干；弄。～试验|～出名堂|～一台节目|把问题～清楚。,gǎo,gǎo,gǎo,gǎo,gǎo,3,3,3,3,gao,gao,gao,gao,gao
塘,táng,táng,táng	1:水池。池～|鱼～|荷～|水～|泥～|苇～。2:浴池。澡～|盆～。3:堤岸；堤坝。～堰|～坝|河～|海～。4:室内地上生火取暖用的小坑。火～。,táng,táng,táng,táng,táng,2,2,2,2,tang,tang,tang,tang,tang
摊,tān,tān,tān	[攤]	1:铺开；摆开。～牌|账本～了一桌子。2:分担。～派|分～|均～。3:碰上；落到（多指不如意的事情）。～上一件苦差事|这种事～在谁身上也受不了。4:把糊状食物放在锅里铺成片状，煎烤使熟。～鸡蛋|～煎饼。5:设在路边、广场上没有铺面的售货处（多是临时性的）。～位|～点|～主|～贩|菜～儿|收～儿。6:量词。 用于摊开的液体或糊状物。一～水|一～鲜血|一～稀泥。,tān,tān,tān,tān,tān,1,1,1,1,tan,tan,tan,tan,tan
聘,pìn,pìn,pìn	1:请人担任（职务）。～请|～用|～任|～书|招～|竞～。2:送礼定亲；也指所送的礼物。～礼|纳～|下～。3:女子出嫁。出～|～闺女。,pìn,pìn,pìn,pìn,pìn,4,4,4,4,pin,pin,pin,pin,pin
斟,zhēn,zhēn,zhēn	1:往碗、杯子等容器里倒（酒、茶等）。～酒|～茶|自～自饮。2:【斟酌】 仔细考虑；反复推敲。～字句|再三。,zhēn,zhēn,zhēn,zhēn,zhēn,1,1,1,1,zhen,zhen,zhen,zhen,zhen
蒜,suàn,suàn,suàn	大蒜，多年生草本植物，花白色，地下鳞茎分瓣，有辣味，可以做调料，也可入药，叶子和花轴（即蒜薹）嫩时可以吃。,suàn,suàn,suàn,suàn,suàn,4,4,4,4,suan,suan,suan,suan,suan
勤,qín,qín,qín	1:做事肯花时间、肯出力（跟“懒”相对）。～劳|～奋|～快|辛～|克～克俭|人～地不懒。2:次数多；经常。～洗手|不懂的要～问|今年雨水真～。3:规定时间内的工作。出～|值～|考～|全～。4:勤务；工作。内～|外～|后～|执～。5:【殷勤】 见“殷”。,qín,qín,qín,qín,qín,2,2,2,2,qin,qin,qin,qin,qin
靴,xuē,xuē,xuē	靴子，长筒的鞋。皮～|雨～|马～|隔～搔痒。,xuē,xuē,xuē,xuē,xuē,1,1,1,1,xue,xue,xue,xue,xue
靶,bǎ,bǎ,bǎ	射击或射箭用的目标。～场|～心|～标|打～|脱～|移动～。,bǎ,bǎ,bǎ,bǎ,bǎ,3,3,3,3,ba,ba,ba,ba,ba
鹊,què,què,què	[鵲]	鸟名，喙尖，尾长，羽毛大部分黑色，肩和腹部白色，叫声响亮，民间以鹊叫为吉兆，所以也叫“喜鹊”。,què,què,què,què,què,4,4,4,4,que,que,que,que,que
蓝,lán,lán,lán	[藍]	1:蓼（liǎo）蓝，一年生草本植物。叶子含蓝色汁液，可以做蓝色染料。2:颜色像晴天天空的。～天|蔚～|湛～|碧～。3:（Lán）姓。,lán,lán,lán,lán,lán,2,2,2,2,lan,lan,lan,lan,lan
墓,mù,mù,mù	坟；埋葬死人的地方。～地|～葬|公～|陵～|扫～。,mù,mù,mù,mù,mù,4,4,4,4,mu,mu,mu,mu,mu
幕,mù,mù,mù	1:覆盖在上面的大块的布、绸、丝绒、毡子等。帐～|帷～|揭～。2:垂挂着的大块的布、绸、丝绒等。帘～|开～|银～。3:古代作战时将帅办公的营帐，后也指地方军政长官的衙署。～府|～僚|～友|～宾。4:量词。 戏剧较完整的段落。序～|独～剧|第一～。,mù,mù,mù,mù,mù,4,4,4,4,mu,mu,mu,mu,mu
蓬,péng,péng,péng	1:飞蓬，二年生草本植物。叶子像柳叶，子实有毛，随风飞扬。2:（头发、茅草、绒毛等）松散。～松|～头垢面|乱～～。3:量词。 用于枝叶茂盛的花草。一～茅草。,péng,péng,péng,péng,péng,2,2,2,2,peng,peng,peng,peng,peng
蓄,xù,xù,xù	1:积聚；储存。～水|～洪|～积|储～|积～|～电池|养精～锐。2:留着，不去掉。～发（ｆà）|～须|～指甲。3:心里存着。～意|～志|～谋已久。,xù,xù,xù,xù,xù,4,4,4,4,xu,xu,xu,xu,xu
蒲,pú,pú,pú	1:【香蒲】 多年生草本植物。生在浅水或池沼中，根状茎横生，叶子长而尖，雌雄花紧排在穗轴上，叫蒲棒，根状茎可提取淀粉，叶子供编织。通称“蒲草”。2:（Ｐú）姓。,pú,pú,pú,pú,pú,2,2,2,2,pu,pu,pu,pu,pu
蓉,róng,róng,róng	1:用瓜果、豆类等加工制成的粉状食品，常作糕点馅儿。莲～|椰～|豆～。2:（Róng）四川成都的别称。,róng,róng,róng,róng,róng,2,2,2,2,rong,rong,rong,rong,rong
蒙,méng,mēng#méng#měng,1mēng	头脑昏乱。发～|～头转向。#####2mēng	[矇]	1:欺骗。～骗|～人|～事|你说实话吧，别～我。2:乱猜。这道题我～对了。#####3méng	1:覆盖；遮。～上一张纸|～在鼓里|头上～着纱巾。2:受。～受|～难（nàn）|～冤|～羞|承～。3:愚昧无知。～昧|开～|启～|童～。4:隐瞒；遮盖（真相）。～哄（hǒng）|～蔽。5:（Méng）姓。#####4méng	[濛]	【蒙蒙】 形容雨点细小。细雨～。#####5méng	[懞]	〈文〉朴实忠厚。～厚。#####6méng	[矇]	【蒙眬】 眼睛半开半闭，看东西模糊不清的样子。#####7měng	指蒙古族。～文|～医。,mēng#méng#měng,mēng#méng#měng,mēng#méng#měng,méng,mēng#méng#měng,1#2#3,1#2#3,2,1#2#3,meng#meng#meng,meng,meng,meng,meng
蒸,zhēng,zhēng,zhēng	1:蒸发，液体受热转化为气体上升。～汽|～腾|～馏|水～气。2:利用水蒸气的热力使食物变熟、变热或消毒。～锅|清～|熏～|～馒头|把剩饭～一～。,zhēng,zhēng,zhēng,zhēng,zhēng,1,1,1,1,zheng,zheng,zheng,zheng,zheng
献,xiàn,xiàn,xiàn	[獻]	1:恭敬地送上。～礼|～花|贡～|奉～|捐～|～计～策。2:表现出来；呈现给大家。～艺|～技|～丑|～媚|～殷勤。,xiàn,xiàn,xiàn,xiàn,xiàn,4,4,4,4,xian,xian,xian,xian,xian
椿,chūn,chūn,chūn	落叶乔木。嫩叶有香气、可以吃的，叫“香椿”；有臭味的，叫“臭椿”。,chūn,chūn,chūn,chūn,chūn,1,1,1,1,chun,chun,chun,chun,chun
禁,jìn,jīn#jìn,1jīn	1:承受；承受得了；耐（用）。～受|～脏|～穿|～不起|弱不～风|～不住批评。2:忍住。不～|情不自～|忍俊不～。#####2jìn	1:不准许；制止。～止|～令|～毒|～区|查～|屡～不止。2:关押。～闭|监～|拘～|囚～|软～。3:法令或习俗所不准许的事。犯～|解～|违～|令行～止|～忌。4:旧时称皇宫。～中|宫～|紫～城。,jīn#jìn,jīn#jìn,jīn#jìn,jīn#jìn,jīn#jìn,1#4,1#4,1#4,1#4,jin#jin,jin,jin,jin,jin
楚,chǔ,chǔ,chǔ	1:清晰；整齐。清～｜齐～｜衣冠～～。2:痛苦。苦～｜酸～｜痛～。3:（Chǔ）周代诸侯国名。战国七雄之一，故地在今湖北和湖南一带。4:（Chǔ）朝代名（公元907-951年）。十国之一，马殷所建，建都长沙。5:（Chǔ）指湖北和湖南，特指湖北。～地｜～剧。6:（Chǔ）姓。,chǔ,chǔ,chǔ,chǔ,chǔ,3,3,3,3,chu,chu,chu,chu,chu
楷,kǎi,kǎi#jiē,1jiē	楷树，即黄连木，落叶乔木。果实紫色，木材供建筑和制作器物用。种子可以榨油，树皮和叶子可以制栲胶，鲜叶可以提制芳香油。#####2kǎi	1:标准的格式；典范。～模|～式。2:楷书，汉字字体的一种，由隶书演变而来，字体方正，结构匀称，笔画平直。～体|小～|正～。,kǎi#jiē,kǎi#jiē,kǎi#jiē,kǎi#jiē,kǎi#jiē,3#1,3#1,3#1,3#1,kai#jie,kai#jie,kai#jie,kai#jie,kai#jie
榄,lǎn,lǎn,lǎn	[欖]	【橄（gǎn）榄】 见“橄”。,lǎn,lǎn,lǎn,lǎn,lǎn,3,3,3,3,lan,lan,lan,lan,lan
想,xiǎng,xiǎng,xiǎng	1:思考；动脑筋。～象|～法|联～|设～|回～|苦思冥～。2:推测；认为。～必|猜～|推～|料～|我～他不会来了。3:希望；打算。～买一台电脑|不～去了。4:怀念；记挂。～念|～家|怀～|朝思暮～。,xiǎng,xiǎng,xiǎng,xiǎng,xiǎng,3,3,3,3,xiang,xiang,xiang,xiang,xiang
槐,huái,huái,huái	槐树，落叶乔木。花黄白色，果实长荚形，木材可用于建筑和制作家具，花和果实可入药。,huái,huái,huái,huái,huái,2,2,2,2,huai,huai,huai,huai,huai
榆,yú,yú,yú	榆树，落叶乔木，花有短梗，果实倒卵形，通称“榆钱”，木材坚固，可供建筑或制器具用。,yú,yú,yú,yú,yú,2,2,2,2,yu,yu,yu,yu,yu
楼,lóu,lóu,lóu	[樓]	1:两层或两层以上的房子。～房|～梯|教学～|高～大厦。2:某些建筑物上加盖的房子。城～|箭～|角～|钟～。3:楼房的一层。一～|会议室在三～。4:用于某些店铺和娱乐场所的名称。酒～|影～|茶～|戏～。5:（Lóu）姓。,lóu,lóu,lóu,lóu,lóu,2,2,2,2,lou,lou,lou,lou,lou
概,gài,gài,gài	1:大略。～况|～要|～述|～貌|大～|故事梗～。2:气度；神态。气～|节～。3:总括。～括|一～而论|以偏～全。4:副词。 一律。～莫能外|～不负责|～不由己。,gài,gài,gài,gài,gài,4,4,4,4,gai,gai,gai,gai,gai
赖,lài,lài,lài	[賴]	1:依赖；依靠。信～|倚～|有～于。2:留在某处不肯离开。～着不走|～在家里不出门。3:抵赖；不承认以前的言行。～账|～婚|人赃俱在，～是～不掉的。4:诬赖；硬说别人有错误。明明是你自己的责任，怎么能～别人呢？5:责备；埋怨。事情没办好，不能～哪一个人。6:不好；坏。收成不～|好～不分。7:（Lài）姓。,lài,lài,lài,lài,lài,4,4,4,4,lai,lai,lai,lai,lai
酪,lào,lào,lào	1:用牛、羊等的乳汁做成的半凝固或凝固的食品。奶～|乳～|干～。2:用果实做成的糊状食品。山楂～|杏仁～|核桃～。,lào,lào,lào,lào,lào,4,4,4,4,lao,lao,lao,lao,lao
酬,chóu,chóu,chóu	1:用财物报答。～报｜～谢。2:付给人作为劳动报偿的钱或物。稿～｜付～｜按日计～｜同工同～。3:交际往来。～答｜应～。4:实现。壮志未～。,chóu,chóu,chóu,chóu,chóu,2,2,2,2,chou,chou,chou,chou,chou
感,gǎn,gǎn,gǎn	1:觉得。～到|～觉|～知|倍～亲切。2:受外界事物的影响而触动。～动|～慨|～叹|～悟|～触|～人肺腑|多愁善～。3:怀有谢意。～谢|～恩|～激|铭～于心。4:情感；感受。～情|灵～|美～|好～|责任～|有～而发|百～交集。5:（照相底片、晒图纸等）因接触光线而发生化学变化。～光。,gǎn,gǎn,gǎn,gǎn,gǎn,3,3,3,3,gan,gan,gan,gan,gan
